,,,,,,,
,Name,Link,Price (¥),Price ($),Price (€),Links,
40,Air jordan 4 Batch 4,https://pandabuy.allapp.link/cl2f8n8gpf6nf012karg,"¥410,00","$57,56","$53,27",https://pandabuy.allapp.link/cl2f8n8gpf6nf012karg,p
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,Air jordan 4 Batch,https://pandabuy.allapp.link/cl2dek1rogtktc431mbg,"¥410,00","$57,56","$53,27",https://pandabuy.allapp.link/cl2dek1rogtktc431mbg,p
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,Air jordan 4 Batch 2,https://pandabuy.allapp.link/cl2eslvm8ngo604cfsdg,"¥490,00","$68,80","$63,66",https://pandabuy.allapp.link/cl2eslvm8ngo604cfsdg,p
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,Air jordan 4 Batch 3,https://pandabuy.allapp.link/cl2euavm8ngo604cfslg,"¥500,00","$70,20","$64,96",https://pandabuy.allapp.link/cl2euavm8ngo604cfslg,p
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,Air jordan 4 Batch 5,https://pandabuy.allapp.link/cl2fae8gpf6nf012kb60,"¥410,00","$57,56","$53,27",https://pandabuy.allapp.link/cl2fae8gpf6nf012kb60,p
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,Air jordan 4 Batch 6,https://pandabuy.allapp.link/cl2fcvprogtktc431tj0,"¥410,00","$57,56","$53,27",https://pandabuy.allapp.link/cl2fcvprogtktc431tj0,p
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,Air jordan 4 Batch 7,https://pandabuy.allapp.link/cl2fe8fm8ngo604cfv1g,"¥480,00","$67,39","$62,36",https://pandabuy.allapp.link/cl2fe8fm8ngo604cfv1g,p
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,Air jordan 4 Batch 8,https://pandabuy.allapp.link/cl2ff0progtktc431ttg,"¥481,00","$67,53","$62,49",https://pandabuy.allapp.link/cl2ff0progtktc431ttg,p
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,Air jordan 4 Batch 9,https://pandabuy.allapp.link/cl5krcprogtktc43bm40,"¥199,00","$27,94","$25,85",https://pandabuy.allapp.link/cl5krcprogtktc43bm40,p
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,"Air jordan 4
Red Cement",https://pandabuy.allapp.link/cl5lukggpf6nf012uau0,"¥432,00","$60,65","$56,12",https://pandabuy.allapp.link/cl5lukggpf6nf012uau0,pp
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,"Air jordan 4
'Frozen Moments'",https://pandabuy.allapp.link/cl5lvg9rogtktc43bovg,"¥480,00","$67,39","$62,36",https://pandabuy.allapp.link/cl5lvg9rogtktc43bovg,pp
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,Jordan 4 retro thunder,https://pandabuy.allapp.link/cl5m061rogtktc43bp2g,"¥417,00","$58,55","€44,98",https://pandabuy.allapp.link/cl5m061rogtktc43bp2g,pp
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,AJ4 Pine Green White,https://pandabuy.allapp.link/cl5m9dggpf6nf012ubrg,"¥419,00","$58,83","€45,98",https://pandabuy.allapp.link/cl5m9dggpf6nf012ubrg,pp
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,GX - AJ4,https://pandabuy.allapp.link/cm43g1h0b4mhqi3pf37g,"¥498,00","$69,92","€44,98",https://pandabuy.allapp.link/cm43g1h0b4mhqi3pf37g,CKT
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,PB - AJ4,https://pandabuy.allapp.link/cm43itggpf6qoog0ea6g,"¥259,00","$36,36","€45,98",https://pandabuy.allapp.link/cm43itggpf6qoog0ea6g,CKT
97,,,,,,,
98,,,,,,,
99,,,,,,,
